username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Michael Finnegan,150793102,Los Angeles,2023-01-20 20:59:57,A powerful nonprofit owns apartments for poor tenants. Why are some tenants trapped inside? Great story by… https://t.co/t1f42CgEvq,3,Twitter Web App,
MYKOL,1108562788107120640,"Los Angeles, CA",2023-01-20 20:55:33,@Daenerys_Oksana We really sat in a circle for like 20-30 minutes talking about some of our crazy ass residents. On… https://t.co/kPdCMjO480,0,Twitter for iPhone,
Michael Reagan,93241358,"Los Angeles, California",2023-01-20 20:52:50,I’ve said it for years.  We import our homeless from all over the nation. Other states still charge drug offenders… https://t.co/ABtPkxXY9C,3,Twitter for iPhone,
Annie Jump 🏳️‍⚧️ (slut/pup/princess/whore),2507744807,"Los Angeles, CA",2023-01-20 20:50:44,"At the same time, theres video in my timeline with these same ambassadors kicking homeless people that have money out from in front of a 711",0,Twitter for Android,
Anthony Cabassa,1254221284948365312,"Los Angeles, CA",2023-01-20 20:49:37,"ICYMI: A San Francisco art gallery owner has been arrested, after a video showed him spraying water out of a hose a… https://t.co/OyMrsJp8gA",2,Twitter for iPhone,
Bill Zettler,85026433,"Los Angeles, CA",2023-01-20 20:48:31,"@ninaturner But do they have the means to do so? Do the homeless have refrigerators?

A better fight is to let them… https://t.co/Tk4yFb6vMk",0,Twitter Web App,
Rae,36739303,Los Angeles,2023-01-20 20:32:36,@Gr8SageEqlofHvn @stittlo @SamiScheetz Los Angeles County has set up some kind of thing where homeless people can u… https://t.co/pQPYSNuykq,0,Twitter for Android,
into fantasy sports but ironically,825616716726022144,"Los Angeles, CA",2023-01-20 20:22:37,@Benroy630 @RogAllHest @MadeInTheUSANJ @dbongino Florida gets our overflow of people who were outpriced in Californ… https://t.co/NUh1TY7mbE,0,Twitter for Android,
Mark Horvath,14595574,Los Angeles,2023-01-20 20:18:58,"People don’t understand @LAHomeless has little control over anything, but their workers can get out of vehicles to… https://t.co/IkGpsAx7Kk",1,Twitter for iPhone,
Perez Hilton,19329393,"Los Angeles, CA",2023-01-20 20:15:16,UPDATE: San Francisco business owner ARRESTED for spraying homeless person with water! https://t.co/utXchSNInN,2,Hootsuite Inc.,
Invisible People ➤ Imagine Everyone With a Home,16786960,Los Angeles ,2023-01-20 20:12:08,"Donald is on social security, but he keeps getting denied housing because of his past. Donald needs to have back su… https://t.co/UXElxwT8V3",4,Agorapulse app,
Scott Shackford (Blue Checkmark),37972706,"Los Angeles, CA",2023-01-20 20:08:30,[Seethes] I hope anybody in L.A. who has run cover for the AIDS Healthcare Foundation's behavior reads this. https://t.co/tYJAnRln0U,0,Twitter Web App,
Lex Jurgen,944423886854144000,"Los Angeles, CA",2023-01-20 20:06:15,"@liamleewashere @Elex_Michaelson @MayorOfLA @POTUS @JoeBiden @KarenBassLA you are right, closer at least, I was loo… https://t.co/q64G1PuPK8",1,Twitter Web App,
Naveed Hasan 🌍,447330389,Los Angeles ,2023-01-20 20:06:02,How to be an a*****e? https://t.co/Lrkou2a7Oe,0,Twitter Web App,
